city,date,temp,humidity,description
Miami,2025-07-15T13:00:00,78.28,79,moderate rain
Miami,2025-07-16T13:00:00,80.49,80,moderate rain
Miami,2025-07-17T13:00:00,86.05,65,light rain
Miami,2025-07-18T13:00:00,86.88,67,light rain
Miami,2025-07-19T13:00:00,85.87,67,light rain
miami,2025-07-13T13:00:00,89.04,71,light rain
miami,2025-07-14T13:00:00,84.67,49,very heavy rain
miami,2025-07-15T13:00:00,78.28,79,moderate rain
miami,2025-07-16T13:00:00,80.49,80,moderate rain
miami,2025-07-17T13:00:00,86.05,65,light rain
miami,2025-07-18T13:00:00,86.88,67,light rain
miami,2025-07-19T13:00:00,85.87,67,light rain
Miami,2025-07-13T13:00:00,89.04,71,light rain
Miami,2025-07-14T13:00:00,84.67,49,very heavy rain
New York,2025-07-13T13:00:00,82.31,74,overcast clouds
New York,2025-07-14T13:00:00,84.72,60,moderate rain
New York,2025-07-15T13:00:00,81.36,73,moderate rain
New York,2025-07-16T13:00:00,87.17,56,scattered clouds
New York,2025-07-17T13:00:00,92.3,53,light rain
New York,2025-07-18T13:00:00,93.99,44,light rain
New York,2025-07-19T13:00:00,86.25,51,light rain
new york,2025-07-16T13:00:00,87.93,65,light rain
new york,2025-07-17T13:00:00,90.9,50,moderate rain
new york,2025-07-18T13:00:00,85.05,34,light rain
new york,2025-07-19T13:00:00,85.33,38,broken clouds
new york,2025-07-20T13:00:00,83.59,69,moderate rain
new york,2025-07-21T13:00:00,82.92,38,broken clouds
new york,2025-07-22T13:00:00,79.25,39,clear sky
new york,2025-07-16T13:00:00,89.06,67,moderate rain
new york,2025-07-17T13:00:00,90.7,51,light rain
new york,2025-07-18T13:00:00,82.63,37,broken clouds
new york,2025-07-19T13:00:00,83.66,34,overcast clouds
new york,2025-07-20T13:00:00,75.49,86,moderate rain
new york,2025-07-21T13:00:00,82.99,46,few clouds
new york,2025-07-22T13:00:00,80.28,49,clear sky
new york,2025-07-16T13:00:00,89.67,67,moderate rain
